Builder,Contact,Email,Phone,States,Website,Portal URL,On E-Agent,Has Website,CSV Section,Notes
Proxima,Andrew Sun,andrew.sun@proxima.com.au,425550520,NSW,https://proxima.com.au,,0,1,primary,
Quality House and Land,SAOURABH RAHEJA,saourabh@qualityhouses.com.au,0493511236 or 0407782050,VIC,,,0,0,primary,
Rose Haven Constructions,,admin@rosehavenconstructions.com.au,0418 342 349,EMERALD,https://www.rosehavenconstructions.com.au,,0,1,perth,
Royston Homes,Rachit Sharma,rachits@roystonhomes.com.au,0425471998,VIC,,,0,0,primary,
Shape Homes,Thuyen Nguyen,,370025800,VIC,,,0,0,primary,BUILDER SENT A PDF FILE ON WEEKLY BASIS
Sheridon Homes,Beau Huppert,beauh@sherridon.com.au,435123663,VIC,,,0,0,primary,
Sheridon Homes/ Mcmullanbird,Beau Huppert,beauh@sherridon.com.au,0435123663,VIC,,,0,0,primary,sherridonhomes.com.au
Silkwood Homes,Jessica Coyne,jessicac@silkwoodhomes.com.au,0478770158,QLD,,,1,0,primary,
Strike Development,Hayden Van,sales@strikedev.com.au,0420966996,QLD,,,0,0,primary,
Sunny Homes,Sunny,,0426815270 or '04493742880,ACT/NSW,,,0,0,primary,
Tom Gaskin,,,,,,,0,0,agents,
Torsion Homes,,,,QLD,https://torsionhomes.au,,1,1,primary,
VERV,,,,,https://www.e-agent.com.au,,1,1,primary,
Villie Building Group,,office@villiebuildinggroup.com.au,0436 444 839,EMERALD,https://villiebuildinggroup.com.au,,0,1,perth,
WA Building Company,,sales@wabuildingcompany.com.au,(08) 6200 0101,PERTH,https://www.wabuildingcompany.com.au,,0,1,perth,
WB Home Builders,,,(08) 9560 6892,PERTH,https://www.wbhomes.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,0,1,perth,
basham buildings,,,,,,,0,0,agents,
hattan.com.au,Brian Zeeman,BrianZ@hattan.com.au,0437503015,VIC,https://www.e-agent.com.au,,1,1,primary,
out back builders,,,,,,,0,0,agents,
stokes buildings,,,,,,,0,0,agents,
