Builder,Title,Type,Size (bytes),Local File,Source URL,Downloaded,Building Details (extracted)
Celebration Homes,Download Brochure,brochure,163621,D:\Coleen\app\assets\celebration_homes\Karridale-215-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/02/Karridale-215-Brochure.pdf,2026-07-23 12:18:31,BATH BED 3 3.6 x 2.9 KITCHEN ALFRESCO DINING 4.0 x 3.8 THEATRE 4.3 x 3.6 MH 660 x 560 s + rail WIR ENS ENTRY PRIMARY BED WC 3.8 x 3.7 liar + s WC s + rail BED 2 3.9 x 2.8 LIVING 7.3 x 4.7 OVERALL pty L'DRY WIL C DOUBLE GARAGE PORCH
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,169722,D:\Coleen\app\assets\celebration_homes\Franklin-240-Alternative-Kitchen-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Franklin-240-Alternative-Kitchen-Brochure.pdf,2026-07-23 12:18:27,BED 3 BED 4 ALFRESCO 3.8 x 2.8 3.8 x 2.8 3.9 x 3.9 s + rail s + rail WC BATH LIVING 5.1 x 4.9 L'DRY linen BED 2 DINING 3.8 x 2.8 5.1 x 3.4 KITCHEN PRIMARY BED 4.5 x 3.8 WIP C WIR MH 660 x 560 ENS DOUBLE GARAGE ENTRY THEATRE 4.0 x 4.0 PORCH liar + s Living Area 188.57m² Garage 32.85m² Alfresco 15.21 m² ALTERNATIVE KITCHEN Porch 2.99m² Total Area 239.62 mm²² Min. Lot Width 12.5 m
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,171040,D:\Coleen\app\assets\celebration_homes\Franklin-240-Alternative-Primary-Bed-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Franklin-240-Alternative-Primary-Bed-Brochure.pdf,2026-07-23 12:18:23,BED 3 BED 4 ALFRESCO 3.8 x 2.8 3.8 x 2.8 3.9 x 3.9 s + rail s + rail WC BATH LIVING 5.1 x 4.9 L'DRY linen BED 2 DINING 3.8 x 2.8 5.1 x 3.3 THEATRE 3.8 x 3.8 KITCHEN pty ENS C MH 660 x 560 WIR DOUBLE GARAGE ENTRY PRIMARY BED 4.0 x 4.0 PORCH liar + s Living Area 188.57m² Garage 32.85m² Alfresco 15.21 m² ALTERNATIVE PRIMARY BED Porch 2.99m² Total Area 239.62 mm²² Min. Lot Width 12.5 m
Celebration Homes,Download Brochure,brochure,167446,D:\Coleen\app\assets\celebration_homes\Franklin-240-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Franklin-240-Brochure.pdf,2026-07-23 12:18:18,BED 3 BED 4 ALFRESCO 3.8 x 2.8 3.8 x 2.8 3.9 x 3.9 s + rail s + rail WC BATH LIVING 5.1 x 4.9 L'DRY linen BED 2 DINING 3.8 x 2.8 5.1 x 3.3 PRIMARY BED 4.5 x 3.8 KITCHEN pty C WIR MH 660 x 560 ENS ENTRY THEATRE 4.0 x 4.0 liar + s DOUBLE GARAGE PORCH
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,272363,D:\Coleen\app\assets\celebration_homes\Myalup-190-Extended-WIR-Option_Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Myalup-190-Extended-WIR-Option_Brochure.pdf,2026-07-23 12:18:14,Myalup 190 Living Area 146.94m² Garage 32.85m² Alfresco 11.20m² EXTENDED WIR OPTION Porch 2.29m² Total Area 193.28 m² 3 2 2 Min. Lot Width 10.5 m PRIMARY BED ENS 3.8 x 3.4 ALFRESCO 4.0 x 2.8 WIR s + rail DINING 4.1 x 2.6 KITCHEN SCULLERY LIVING 4.8 x 4.5 L'DRY linen BATH THEATRE 3.5 x 3.5 BED 2 C MH 3.3 x 2.6 660 x 560 s + rail DOUBLE GARAGE ENTRY s + rail BED 3 3.3 x 2.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,271557,D:\Coleen\app\assets\celebration_homes\Myalup-190-Bathroom-Alternative_Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Myalup-190-Bathroom-Alternative_Brochure.pdf,2026-07-23 12:18:10,Myalup 190 Living Area 145.54m² Garage 32.85m² Alfresco 11.20m² BATHROOM ALTERNATIVE Porch 2.29m² Total Area 191.88 m² 3 2 2 Min. Lot Width 10.5 m PRIMARY BED ENS 3.8 x 3.4 ALFRESCO 4.0 x 2.8 WIR s + rail DINING 4.1 x 2.6 KITCHEN SCULLERY LIVING 4.8 x 4.5 L'DRY linen THEATRE 3.5 x 3.5 BATH BED 2 C MH 3.3 x 2.6 660 x 560 s + rail DOUBLE GARAGE ENTRY s + rail BED 3 3.3 x 2.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,274052,D:\Coleen\app\assets\celebration_homes\Myalup-190-Kitchen-Scullery-Living-Study-Option_Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Myalup-190-Kitchen-Scullery-Living-Study-Option_Brochure.pdf,2026-07-23 12:18:06,"Myalup 190 Living Area 146.88m² Garage 32.85m² Alfresco 11.20m² KITCHEN, SCULLERY, LIVING & STUDY OPTION Porch 2.29m² Total Area 193.22 m² 3 2 2 Min. Lot Width 10.5 m PRIMARY BED ENS 3.8 x 3.4 ALFRESCO 4.0 x 2.8 WIR s + rail LIVING DINING 5.3 x 3.4 4.3 x 3.6 KITCHEN L'DRY linen SCULLERY BATH STUDY 3.5 x 2.0 BED 2 C MH 3.3 x 2.6 660 x 560 s + rail DOUBLE GARAGE ENTRY s + rail BED 3 3.3 x 2.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409"
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,272769,D:\Coleen\app\assets\celebration_homes\Myalup-190-4-Bed-Option_Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Myalup-190-4-Bed-Option_Brochure.pdf,2026-07-23 12:18:01,Myalup 190 Living Area 145.54m² Garage 32.85m² Alfresco 11.20m² 4 BED OPTION Porch 2.29m² Total Area 191.88 m² 4 2 2 Min. Lot Width 10.5 m PRIMARY BED ENS 3.8 x 3.4 ALFRESCO 4.0 x 2.8 WIR s + rail DINING 4.1 x 2.6 KITCHEN SCULLERY LIVING 4.8 x 4.5 L'DRY linen BED 4 BATH 3.5 x 3.1 s + rail BED 2 C MH 3.3 x 2.6 660 x 560 s + rail DOUBLE GARAGE ENTRY s + rail BED 3 3.3 x 2.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Download Brochure,brochure,274260,D:\Coleen\app\assets\celebration_homes\Myalup-190_Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Myalup-190_Brochure.pdf,2026-07-23 12:17:57,Myalup 190 Living Area 145m.54² 32m.85² Garage 11m.20² Alfresco 2m.29² Porch 191.88 m² 3 2 2 Total Area 10.5 m Min. Lot Width PRIMARY BED ENS 3.8 x 3.4 ALFRESCO 4.0 x 2.8 WIR s + rail DINING 4.1 x 2.6 KITCHEN SCULLERY LIVING 4.8 x 4.5 L'DRY linen BATH THEATRE 3.5 x 3.5 BED 2 C MH 3.3 x 2.6 660 x 560 s + rail DOUBLE GARAGE ENTRY s + rail BED 3 3.3 x 2.6 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,266930,D:\Coleen\app\assets\celebration_homes\Denmark-185-Alt-Ens-Wir-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Denmark-185-Alt-Ens-Wir-Brochure.pdf,2026-07-23 12:17:53,Denmark 185 Living Area 139.71m² Garage 34.68m² Alfresco 9.80m² ALTERNATE ENSUITE AND WIR Porch 2.04m² Total Area 186.23 m² 4 2 2 Min. Lot Width 12.5 m lia + r s BED 3 BED 4 3.7 x 2.7 3.8 x 2.7 ALFRESCO 3.5 x 2.8 s + rail BATH KITCHEN DINING s + rail 3.7 x 2.9 BED 2 3.2 x 3.1 L'DRY LIVING 4.2 x 3.5 PANTRY LINEN ENS C MH 660 x 560 s + rail WIR 2 li a + r WIR 1 s DOUBLE GARAGE ENTRY PRIMARY BED 4.1 x 3.8 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,267381,D:\Coleen\app\assets\celebration_homes\Denmark-185-WIP-Alt-Ldry-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Denmark-185-WIP-Alt-Ldry-Brochure.pdf,2026-07-23 12:17:49,Denmark 185 Living Area 139.91m² Garage 34.68m² Alfresco 9.80m² WIP ALTERNATE L'DRY Porch 2.04m² Total Area 186.43 m² 4 2 2 Min. Lot Width 12.5 m lia + r s BED 3 BED 4 3.7 x 2.7 3.8 x 2.7 ALFRESCO 3.5 x 2.8 s + rail BATH KITCHEN DINING 3.7 x 2.9 L'DRY LINEN BED 2 3.2 x 3.0 WIP LIVING lia 4.2 x 3.5 + r s THEATRE C 3.4 x 3.1 MH 660 x 560 DOUBLE GARAGE li a + r WIR ENS ENTRY s PRIMARY BED 3.8 x 3.5 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,267146,D:\Coleen\app\assets\celebration_homes\Denmark-185-Office-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Denmark-185-Office-Brochure.pdf,2026-07-23 12:17:46,Denmark 185 Living Area 139.01m² Garage 34.68m² Alfresco 9.80m² OFFICE Porch 2.04m² Total Area 185.53 m² 4 2 2 Min. Lot Width 12.5 m lia + r s BED 3 BED 4 3.7 x 2.7 3.8 x 2.7 ALFRESCO 3.5 x 2.8 s + rail BATH KITCHEN DINING s + rail 3.7 x 2.9 BED 2 3.2 x 3.1 L'DRY LIVING 4.2 x 3.5 PANTRY LINEN OFFICE 3.3 x 2.2 C MH 660 x 560 lia + r WIR s ENS DOUBLE GARAGE ENTRY PRIMARY BED 3.8 x 3.5 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Icon to represent a home design brochure Download Brochure,brochure,267086,D:\Coleen\app\assets\celebration_homes\Denmark-185-Scullery-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/03/Denmark-185-Scullery-Brochure.pdf,2026-07-23 12:17:42,Denmark 185 Living Area 139.01m² Garage 34.68m² Alfresco 9.80m² SCULLERY Porch 2.04m² Total Area 185.53 m² 4 2 2 Min. Lot Width 12.5 m lia + r s BED 3 BED 4 3.7 x 2.7 3.8 x 2.7 ALFRESCO 3.5 x 2.8 s + rail BATH KITCHEN DINING s + rail 3.7 x 2.9 BED 2 3.2 x 3.1 SCULLERY LIVING 4.2 x 3.5 L'DRY LINEN C MH 660 x 560 li a + r WIR ENS s DOUBLE GARAGE ENTRY PRIMARY BED 3.8 x 3.5 PORCH a little more you © This design is the sole property of Celebration Homes and there is no implied license of its use for any purpose. Celebration Homes BC5409
Celebration Homes,Download Brochure,brochure,159139,D:\Coleen\app\assets\celebration_homes\Denmark-185-Brochure.pdf,https://www.celebrationhomes.com.au/wp-content/uploads/2025/02/Denmark-185-Brochure.pdf,2026-07-23 12:17:38,BED 3 BED 4 3.7 x 2.7 3.8 x 2.7 ALFRESCO 3.5 x 2.8 BATH DINING s + rail 3.7 x 2.9 BED 2 3.2 x 3.1 KITCHEN L'DRY LIVING 4.2 x 3.5 LINEN THEATRE 3.4 x 3.0 MH 660x560 WIR ENS ENTRY PRIMARY BED 3.8 x 3.5 PORCH liar + s s + rail PANTRY C liar + s DOUBLE GARAGE
Dale Alcock,Floorplans icon Floorplan,brochure,876649,D:\Coleen\app\assets\dale_alcock\Yarra-Vision-Series-Bed-5-Brochure.pdf,https://www.dalealcock.com.au/wp-content/uploads/2024/04/Yarra-Vision-Series-Bed-5-Brochure.pdf,2026-07-23 12:22:34,Yarra VISION SERIES 4 2 15m suggested lot width Ground Floor 212.07m Double Garage 35.34m Alfresco 23.07m Alfresco Porch 4.87m 6.6 x 3.5 Total 275.35 Dining Living BED 5 OPTION 6.6 x 4.5 overall Kitchen Scullery Wir Bed 5 4.0 x 3.3 Primary Bed 4.1 x 3.7 Wir Bed 4 4.0 x 2.8 Office 3.9 x 2.3 C MH Activity 660 x 560 4.0 x 2.6 Entry Double Garage Bed 3 4.1 x 2.9 Bed 2 3.9 x 2.9 Porch
Dale Alcock,Floorplans icon Floorplan,brochure,780067,D:\Coleen\app\assets\dale_alcock\Yarra-Vision-Series-Brochure-1.pdf,https://www.dalealcock.com.au/wp-content/uploads/2024/04/Yarra-Vision-Series-Brochure-1.pdf,2026-07-23 12:22:27,Yarra VISION SERIES 4 2 15m suggested lot width Ground Floor 212.07m Double Garage 35.34m Alfresco 23.07m Alfresco Porch 4.87m 6.6 x 3.5 Total 275.35 Dining Living 6.6 x 4.5 overall Kitchen Scullery Wir Theatre 4.0 x 3.3 Primary Bed 4.1 x 3.7 Wir Bed 4 4.0 x 2.8 Office 3.9 x 2.3 C MH Activity 660 x 560 4.0 x 2.6 Entry Double Garage Bed 3 4.1 x 2.9 Bed 2 3.9 x 2.9 Porch
